COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,5132053.0,,0.9981492663949562,0.0011096050191518,-1,,,230174274.0,230174274.0,,0.9789206131736032,0.0014484194612713,,,,129,,,,,0.9903259039733232,1.6857827314899018e-39,,208966325.0,287454426.0,129,0.9789206131736032,0.0014484194612713,0.9934,0.0019,7380,64064.55120476132,0.9995846032297964,-1,-1,-1,803156,795105,7380,16747,1038438.0,8049.906976744186,806.430535,1613304
,2195670.0,,0.9979197637605848,0.0015795968442536,-1,,,113255956.0,113255956.0,,0.984053118039068,0.0015041058013876,,,,129,,,,,0.99432662576036,1.254675817648413e-38,,103079158.0,140633044.0,129,0.984053118039068,0.0015041058013876,0.9949,0.0025,5018,30732.208069226857,0.9994429182243452,-1,-1,-1,405742,402687,5018,16748,669251.0,5187.992248062015,518.798577,797619
,1221974.0,,0.997749131195412,0.0012523287064695,-1,,,90603203.0,90603203.0,,0.9893984068852618,0.0012966885229227,,,,65,,,,,0.9974234421331613,9.046500596136671e-39,,82611212.0,111829870.0,65,0.9893984068852618,0.0012966885229227,0.9961,0.002,5940,24434.700884078306,0.9991661962459596,-1,-1,-1,796479,795108,5940,16750,402367.0,6190.261538461538,617.386222,1269856
,757269.0,,0.9927562065231668,0.0010942602676084,-1,,,59716713.0,59716713.0,,0.9933863772252322,0.0011366922726435,,,,33,,,,,0.9989780786982736,1.1755674548548358e-38,,54521709.0,73353130.0,33,0.9933863772252322,0.0011366922726435,0.997,0.0017,12404,15999.47341314363,0.9986678767097116,-1,-1,-1,1047727,1047284,12404,16751,419796.0,12721.09090909091,645.8567020000002,1636032
,416904.0,,0.9998821426111384,0.0016111689373688,-1,,,27841690.0,27841690.0,,0.9960084472425704,0.0010689815642123,,,,33,,,,,0.99962801810763,5.443209978831416e-38,,25420553.0,34053268.0,33,0.9960084472425704,0.0010689815642123,0.9976,0.0025,9492,7404.626397443891,0.9977811906367524,-1,-1,-1,495740,495405,9492,16752,323601.0,9806.09090909091,497.862254,767171
,94997.0,,0.9997241232492592,0.0013893865449148,-1,,,19312407.0,19312407.0,,0.997903942097574,0.0008485573178837,,,,17,,,,,0.9998940533417372,3.457197982965456e-38,,17605688.0,23597677.0,17,0.997903942097574,0.0008485573178837,0.9983,0.0021,3551,5173.947716339412,0.9958482898945492,-1,-1,-1,683578,683744,3551,16753,59873.0,3521.9411764705883,650.931243,1035344
,66981.0,,0.9998298800913584,0.00132604731916,-1,,,11234999.0,11234999.0,,0.9986718044666734,0.0007735136783491,,,,9,,,,,0.9999581086710692,7.466352018906144e-38,,10233958.0,13709956.0,9,0.9986718044666734,0.0007735136783491,0.9985,0.002,6028,3011.406103645074,0.9933990673330512,-1,-1,-1,763651,760857,6028,16754,54194.0,6021.555555555556,602.3663310000001,1137912
,7068.0,,0.9998480064416317,0.0013450035716948644,-1,,,2439878.0,2439878.0,,0.9997136220640447,0.0005264272586182722,,,,2,,,,,0.9999982129378308,2.7569899790922977e-37,,2210620.0,2967276.0,2,0.9997136220640447,0.0005264272586182722,0.9987,0.002,3242,671.6007039364845,0.9683648408295753,-1,-1,-1,749379,746808,3242,16756,6493.0,3246.5,643.824096,1105143
