COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,13189.0,,0.999910389323922,0.0021435488346577,-1,,,485409.0,485409.0,,0.9999844369511246,0.0001878997785906,,,,1,,,,,0.9999999759783866,1.371524350102086e-37,,435216.0,539750.0,1,0.9999844369511246,0.0001878997785906,0.9988,0.0032,13180,1351.4907877150872,0.9677358320253734,-1,-1,-1,298576,298607,13180,16738,13182.0,13182.0,1321.3553269999998,435178
,7512.0,,0.9997760655024176,0.0017756541472997,-1,,,704573.0,704573.0,,0.9999481277024768,0.0003122218507556,,,,1,,,,,0.9999998763752465,5.693531911280763e-37,,634114.0,786592.0,1,0.9999481277024768,0.0003122218507556,0.9987,0.0026,7478,1958.7080186284736,0.9873502285377126,-1,-1,-1,442358,442266,7478,16739,7483.0,7483.0,750.824509,633973
,5880.0,,0.9978625817279564,0.0014589180502414,-1,,,1040233.0,1040233.0,,0.9998989563983112,0.0003951015459562,,,,1,,,,,0.9999995783743992,8.756186679496482e-37,,936644.0,1163948.0,1,0.9998989563983112,0.0003951015459562,0.9988,0.0022,5747,2893.1464657381825,0.993410113276745,-1,-1,-1,655622,655694,5747,16740,5759.0,5759.0,577.742651,934643
,5658.0,,0.9944033729389412,0.0011944313119952,-1,,,1544554.0,1544554.0,,0.9997900697913674,0.0005160514789199,,,,1,,,,,0.9999989715320682,7.3361819079310515e-37,,1390123.0,1726556.0,1,0.9997900697913674,0.0005160514789199,0.9987,0.0018,5327,4293.1886340230985,0.9958488174857344,-1,-1,-1,970221,970015,5327,16741,5382.0,5382.0,540.054836,1378948
,11319.0,,0.9959011550208868,0.0012555879149207,-1,,,2798560.0,2798560.0,,0.9996395589198144,0.0005827591698309,,,,2,,,,,0.9999964871414596,4.541643923544399e-37,,2521686.0,3130328.0,2,0.9996395589198144,0.0005827591698309,0.9987,0.0018,5126,7759.676980889752,0.9977793404499392,-1,-1,-1,879014,878660,5126,16742,10392.0,5196.0,522.169721,1250674
,17973.0,,0.9944744123320244,0.0011932463949722,-1,,,4627222.0,4627222.0,,0.9994110040413916,0.0006566258764268,,,,3,,,,,0.9999902992121652,2.8368319017244213e-37,,4179103.0,5187375.0,3,0.9994110040413916,0.0006566258764268,0.9986,0.0018,5138,12834.260858040976,0.9986695082531144,-1,-1,-1,969989,969410,5138,16743,15501.0,5167.0,517.4508529999999,1381732
,20921.0,,0.9943820981161664,0.0012459900906596,-1,,,7066558.0,7066558.0,,0.9990525628709443,0.0007490495145768,,,,5,,,,,0.9999754209053126,2.1238691894823e-37,,6387082.0,7929388.0,5,0.9990525628709443,0.0007490495145768,0.9985,0.0018,2915,19607.17298490653,0.9991660555803435,-1,-1,-1,887555,886925,2915,16744,14860.0,2972.0,495.493712,1265464
,35157.0,,0.9997966673183448,0.0014289091221476,-1,,,9747578.0,9747578.0,,0.9986032293118776,0.000839211856345,,,,9,,,,,0.9999448173464854,1.995173663593888e-37,,8813143.0,10944030.0,9,0.9986032293118776,0.000839211856345,0.9984,0.002,2516,26983.05653480438,0.9994432747942538,-1,-1,-1,683863,683051,2516,16745,22726.0,2525.1111111111118,455.216597,979039
,79982.0,,0.9775883416816981,0.0010800611834804186,-1,,,16501194.0,16501194.0,,0.9981346534287442,0.0008503193359788859,,,,9,,,,,0.9999025826880877,5.74903011320282e-38,,14915496.0,18528998.0,9,0.9981346534287442,0.0008503193359788859,0.9983,0.0016,5527,45961.186734853974,0.9995841962469278,-1,-1,-1,1126431,1124829,5527,16746,52034.0,5781.555555555556,579.11618,1615067
