COINTRIG_cut,COINTRIG_scaler,COIN_PS,COIN_scaler_accp,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,ELT2_HMS,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_DataRate,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_DataRate,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT_HMS,TLT_ELT_SHMS,accp_edtm,avg_yield_HMS_CPULT_notrack,avg_yield_HMS_CPULT_track,avg_yield_HMS_notrack,avg_yield_HMS_scaler,avg_yield_HMS_track,avg_yield_SHMS_CPULT_notrack,avg_yield_SHMS_CPULT_track,avg_yield_SHMS_notrack,avg_yield_SHMS_scaler,avg_yield_SHMS_track,boilingCorr,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncern_COIN_evts_scaler,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
,13189.0,,7.0,-0.9999378830645242,0.999937907084646,0.999910389323922,0.999910389323922,0.0021435488346577,1.0,-1,,,485409.0,485409.0,,,0.9999844369511246,0.0001878997785906,472227.0,,,,1,,,,,0.9999999759783866,1.371524350102086e-37,,435216.0,539750.0,329.3709050903914,1,0.9999844369511246,0.0001878997785906,422034.0,0.9988,0.0032,0.9998482779547868,-0.999910389323922,0.9999103653044612,13180,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,1351.4907877150872,0.9677358320253734,1.0228064776364938,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.9998482779547868,298576,298607,13180,9.981418117066404,367.3569024783597,367.3569024783597,329.3709050903914,408.4821008936683,16738,13182.0,1,13182.0,13182.0,1321.3553269999998,435178,,0.00870751168382865,0.0021435488346577,,0.0014353112465252242,-1.0,0.0014353112465252242,-1.0,0.0013611427506959426,0.0018300904394478973,0.0015158197923987634,0.001829995441212535,0.008709492865011,-4.595213386740693e-06,4.5952132763562535e-06,64.97065976119758,,,,,,0.05204696715156819,0.05524696715156819,0.048108150092750046,0.0480972199077769,0.0482144595048681,,,,,,1.0030880943904708,1.0037266175345054,1.003048950714681,0.9937857491717745,1.0036874385210417,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134
,7512.0,,29.0,-0.9995556537823911,0.9995557773522278,0.9997760655024176,0.9997760655024176,0.0017756541472997,1.0,-1,,,704573.0,704573.0,,,0.9999481277024768,0.0003122218507556,697090.0,,,,1,,,,,0.9999998763752465,5.693531911280763e-37,,634114.0,786592.0,844.5568736755235,1,0.9999481277024768,0.0003122218507556,626631.0,0.9987,0.0026,0.9993318187892557,-0.9997760655024176,0.9997759419053479,7478,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,1958.7080186284736,0.9873502285377126,2.6087427823010416,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.9993318187892557,442358,442266,7478,10.00500104878702,938.3990420589746,938.3990420589746,844.5568736755235,1047.6376178071725,16739,7483.0,1,7483.0,7483.0,750.824509,633973,,0.011537778849851146,0.0017756541472997,,0.0011913435057461508,-1.0,0.0011913435057461508,-1.0,0.001127522552818901,0.0015035333202571975,0.0012557880012572928,0.0015036896943314317,0.011557023133591063,-3.153653862715921e-06,3.1536534728462395e-06,37.00127390927133,,,,,,0.022169840672305794,0.024769840672305792,0.01895039315931845,0.01893234750384092,0.019127922022340628,,,,,,1.0051835915796024,1.0056105447866521,1.0051444662464202,0.9978981629536904,1.00557139239489,1,1,1,1,1,228.78640701876122,229.03657240217774,228.7864353024279,324.01938801611954,229.03660071677103
,5880.0,,121.0,-1.000053838260974,1.0000542599094522,0.9978625817279564,0.9978625817279564,0.0014589180502414,1.0,-1,,,1040233.0,1040233.0,,,0.9998989563983112,0.0003951015459562,1034474.0,,,,1,,,,,0.9999995783743992,8.756186679496482e-37,,936644.0,1163948.0,1621.2131792222485,1,0.9998989563983112,0.0003951015459562,930885.0,0.9988,0.0022,0.9979163049140476,-0.9978625817279564,0.9978621610035459,5747,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,2893.1464657381825,0.993410113276745,5.007673331249665,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.9979163049140476,655622,655694,5747,10.17754183427943,1800.5127338261893,1800.5127338261893,1621.2131792222485,2014.6478678445362,16740,5759.0,1,5759.0,5759.0,577.742651,934643,,0.013041013273932527,0.0014589180502414,,0.0009804708502514194,-1.0,0.0009804708502514194,-1.0,0.0009269007013988729,0.0012350178677811299,0.0010332673877207535,0.0012349500589193235,0.0131647053705489,-2.1330009926160733e-06,2.1330000932882482e-06,28.6744097570124,,,,,,0.012605086320045526,0.014805086320045527,0.009987801358404595,0.009964865467533814,0.010227227188976916,,,,,,1.0043820812320874,1.0050274507583221,1.0043432863917363,0.9974989420350211,1.0049886205562117,1,1,1,1,1,228.60397798377457,228.90376765154215,228.60407436910478,323.889760241911,228.9038641632714
,5658.0,,276.0,-0.9953513610126208,0.9953523847006294,0.9944033729389412,0.9944033729389412,0.0011944313119952,1.0,-1,,,1544554.0,1544554.0,,,0.9997900697913674,0.0005160514789199,1539172.0,,,,1,,,,,0.9999989715320682,7.3361819079310515e-37,,1390123.0,1726556.0,2574.040462809595,1,0.9997900697913674,0.0005160514789199,1384741.0,0.9987,0.0018,0.9897807506503159,-0.9944033729389412,0.9944023502269609,5327,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,4293.1886340230985,0.9958488174857344,7.949542060990078,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.9897807506503159,970221,970015,5327,10.476713886883886,2859.9947580137955,2859.9947580137955,2574.040462809595,3197.0012763666837,16741,5382.0,1,5382.0,5382.0,540.054836,1378948,,0.013294393474083767,0.0011944313119952,,0.000804634133222385,-1.0,0.000804634133222385,-1.0,0.0007610438232016178,0.0010152305191714615,0.0008481514043868108,0.00101533831460999,0.013562432381262375,-1.4346956153799926e-06,1.4346941398415605e-06,27.1950534411757,,,,,,0.0085441269011749,0.010344126901174899,0.006415305354272616,0.006390994330142829,0.006663043057684596,,,,,,1.0026511852138116,1.0030727020819235,1.002613065658629,0.9974952599450265,1.0030345560874927,1,1,1,1,1,228.21001464786087,228.45855659138465,228.210249354784,323.88856466044695,228.45879155392547
,11319.0,,6123.0,-0.9905883666905136,0.9905918464995417,0.9959011550208868,0.9959011550208868,0.0012555879149207,1.0,-1,,,2798560.0,2798560.0,,,0.9996395589198144,0.0005827591698309,2788168.0,,,,2,,,,,0.9999964871414596,4.541643923544399e-37,,2521686.0,3130328.0,2414.622965087629,2,0.9996395589198144,0.0005827591698309,2511294.0,0.9987,0.0018,0.9865280985373364,-0.9959011550208868,0.995897656561009,5126,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,7759.676980889752,0.9977793404499392,14.860449905117635,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.9865280985373364,879014,878660,5126,21.676860118053458,5359.483492532881,5359.483492532881,4829.245930175258,5994.847793941694,16742,10392.0,1,5196.0,5196.0,522.169721,1250674,,0.0093993099279967,0.0012555879149207,,0.0005977680362159648,-1.0,0.0005977680362159648,-1.0,0.0005652038052075469,0.0010666012883816245,0.0006297301638388987,0.001066816126221983,0.013780386004600197,-1.5829894404147441e-06,1.582983879596769e-06,27.803905690797492,,,,,,0.005905315892631265,0.0077053158926312666,0.003738507414195762,0.0036380430111572276,0.0041492695364361044,,,,,,1.0017205288661895,1.0019508049872379,1.001684933272608,0.9989325392894961,1.001915190808842,1,1,1,1,1,227.99819113250976,228.2030347430042,227.9989920607162,324.35525193465213,228.20383639079978
,17973.0,,12806.0,-0.9999125634030146,0.9999222634367435,0.9944744123320244,0.9944744123320244,0.0011932463949722,1.0,-1,,,4627222.0,4627222.0,,,0.9994110040413916,0.0006566258764268,4611721.0,,,,3,,,,,0.9999902992121652,2.8368319017244213e-37,,4179103.0,5187375.0,2692.1094539839,3,0.9994110040413916,0.0006566258764268,4163602.0,0.9986,0.0018,0.994387458873621,-0.9944744123320244,0.9944647651467432,5138,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,12834.260858040976,0.9986695082531144,24.80285960228377,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.994387458873621,969989,969410,5138,34.733733446952115,8942.341042000371,8942.341042000371,8076.3283619517015,10024.865105401615,16743,15501.0,1,5167.0,5167.0,517.4508529999999,1381732,,0.007459156391755744,0.0011932463949722,,0.00046487889693508215,-1.0,0.00046487889693508215,-1.0,0.00043906232989821784,0.001015351922300016,0.0004891684769998329,0.00101565509691502,0.01387395796385651,-1.4317482093634564e-06,1.4317343202778444e-06,30.979909117564052,,,,,,0.004622442749782281,0.00642244274978228,0.00261869939480295,0.0024629110303155837,0.003177669982918512,,,,,,1.0030370407131963,1.003173164317791,1.0030076049000272,1.000451397085324,1.0031437140950124,1,1,1,1,1,228.29783790131643,228.4814377418243,228.3000525916893,324.84842788361965,228.48365421327753
,20921.0,,17949.0,-0.9863622824872424,0.9863865269750874,0.9943820981161664,0.9943820981161664,0.0012459900906596,1.0,-1,,,7066558.0,7066558.0,,,0.9990525628709443,0.0007490495145768,7051698.0,,,,5,,,,,0.9999754209053126,2.1238691894823e-37,,6387082.0,7929388.0,2578.067832271502,5,0.9990525628709443,0.0007490495145768,6372222.0,0.9985,0.0018,0.980820995962315,-0.9943820981161664,0.9943576571044213,2915,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,19607.17298490653,0.9991660555803435,39.57098245659781,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.980820995962315,887555,886925,2915,42.22253379473764,14261.650206370328,14261.650206370328,12890.33916135751,16003.004292413705,16744,14860.0,1,2972.0,2972.0,495.493712,1265464,,0.006913672134768555,0.0012459900906596,,0.00037618028927234115,-1.0,0.00037618028927234115,-1.0,0.00035512411578081653,0.0010614568951644483,0.00039568424118660204,0.0010618338149351746,0.018169464413857684,-1.5612623245763141e-06,1.5612239501618064e-06,36.37959243911891,,,,,,0.0041628696144265336,0.005962869614426533,0.0021375889007109222,0.0018971449995858441,0.002794510030120223,,,,,,1.0008626968492425,1.0009856828579091,1.0008482159171845,1.0017610604703684,1.0009711897541573,1,1,1,1,1,227.80294291454535,227.9832197603582,227.80854224227573,325.27367801863664,227.9888235192392
,35157.0,,32631.888888888887,-0.996594438160318,0.9966494359208159,0.9997966673183448,0.9997966673183448,0.0014289091221476,1.0,-1,,,9747578.0,9747578.0,,,0.9986032293118776,0.000839211856345,9724852.0,,,,9,,,,,0.9999448173464854,1.995173663593888e-37,,8813143.0,10944030.0,2151.1476461195707,9,0.9986032293118776,0.000839211856345,8790417.0,0.9984,0.002,0.9963917979406842,-0.9997966673183448,0.9997414958852672,2516,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,26983.05653480438,0.9994432747942538,59.27520374395396,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.9963917979406846,683863,683051,2516,77.2313668519428,21413.05493744992,21413.05493744992,19360.328815076136,24041.368597112025,16745,22726.0,1,2525.111111111112,2525.1111111111113,455.216597,979039,,0.00533327644535465,0.0014289091221476,,0.00032029609249830364,-1.0,0.00032029609249830364,-1.0,0.0003022813565683856,0.0012092481911910168,0.0003368484796537481,0.0012099667450654892,0.019868290138781084,-2.0421965246524494e-06,2.0420838308292206e-06,43.40342774121549,,,,,,0.004246701092848218,0.006246701092848218,0.0020123862573085097,0.0016434354227787824,0.002837199049873687,,,,,,1.0029188896631211,1.0026631950832938,1.002935073118084,1.0039206240176788,1.0026793640022664,1,1,1,1,1,228.2709459440077,228.36528780077074,228.28354323567714,325.9748923158053,228.37789029876149
,79982.0,,74200.44444444444,-0.9778871689257788,0.9779824413463122,0.977588341681698,0.977588341681698,0.0010800611834804,1.0,-1,,,16501194.0,16501194.0,,,0.9981346534287442,0.0008503193359788,16449160.0,,,,9,,,,,0.9999025826880876,5.74903011320282e-38,,14915496.0,18528998.0,2861.735504149329,9,0.9981346534287442,0.0008503193359788,14863462.0,0.9983,0.0016,0.9559710958219625,-0.977588341681698,0.9774931076532944,5527,0.1,0.1,0.1,0.1,0.1,227.6065874287038,227.7587218924495,227.6154751732363,324.7018584111336,227.76761794236475,1,45961.18673485397,0.9995841962469278,79.36436301063799,-1.0,-1,-1,-1,1,1,1,1,1,228.30945805457657,228.60749153909046,228.3094635389382,322.6840796185759,228.60749703061134,0.9559710958219625,1126431,1124829,5527,138.11045652359428,28493.75405121646,28493.75405121646,25755.61953734396,31995.303602120046,16746,52034.0,1,5781.555555555556,5781.555555555556,579.11618,1615067,,0.003535931720629644,0.0010800611834804,,0.0002461740750941697,-1.0,0.0002461740750941697,-1.0,0.00023231327795638927,0.0009422099864696541,0.00025892927184310713,0.000942880703238756,0.012859850834507408,-1.1932754415364171e-06,1.1931591958505316e-06,69.45162154880437,,,,,,0.00353336403945024,0.00513336403945024,0.0017807758821610088,0.0015331164430895353,0.002393984699718509,,,,,,0.991735015799874,0.9913483709856206,0.9917929091342201,0.9964761250703958,0.9914062314562906,1,1,1,1,1,225.72542257976096,225.7882379258468,225.74741428603187,323.55764967268277,225.81023575201604
